hanzi,pinyin,english
背,bei1,"the back of a body or object, to turn one's back, to hide something from, to learn by heart, to recite from memory, unlucky (slang), hard of hearing,"
节,jie1,"festival, holiday, node, joint, section, segment, part, to economize, to save, to abridge, moral integrity, classifier for segments, e.g. lessons, train wagons, biblical verses, CL:個|个[gè],"
人物,ren2 wu4,"person, character (in a play, novel etc), protagonist, CL:個|个[gè],"
感激,gan3 ji1,"to be grateful, to appreciate, thankful,"
嫁,jia4,"(of a woman) to marry, to marry off a daughter, to shift (blame etc),"
挑战,tiao3 zhan4,"to challenge, challenge,"
非,Fei1,"to not be, not, wrong, incorrect, non-, un-, in-, to reproach or blame, (colloquial) to insist on, simply must,"
状态,zhuang4 tai4,"state of affairs, state, mode, situation, CL:個|个[gè],"
参与,can1 yu4,"to participate (in sth),"
彼此,bi3 ci3,"each other, one another,"
荣幸,rong2 xing4,"honored,"
到达,dao4 da2,"to reach, to arrive,"
显示,xian3 shi4,"to show, to illustrate, to display, to demonstrate,"
立刻,li4 ke4,"forthwith, immediate, prompt, promptly, straightway, thereupon, at once,"
吐,tu3,"to vomit, to throw up,"
取消,qu3 xiao1,"to cancel, cancellation,"
等待,deng3 dai4,"to wait, to wait for,"
离婚,li2 hun1,"to divorce, divorced from (one's spouse),"
尽力,jin4 li4,"to strive one's hardest, to spare no effort,"
庆祝,qing4 zhu4,"to celebrate,"
假装,jia3 zhuang1,"to feign, to pretend,"
吹,chui1,"to blow, to play a wind instrument, to blast, to puff, to boast, to brag, to end in failure, to fall through,"
状况,zhuang4 kuang4,"condition, state, situation, CL:個|个[gè],"
心脏,xin1 zang4,"heart, CL:顆|颗,個|个[gè],"
似的,shi4 de5,"seems as if, rather like,"
类,lei4,"kind, type, class, category, similar, like, to resemble,"
项目,xiang4 mu4,"item, project, sports event, CL:個|个[gè],"
集中,ji2 zhong1,"to concentrate, to centralize, to focus, centralized, concentrated, to put together,"
实话,shi2 hua4,"truth,"
表情,biao3 qing2,"(facial) expression, to express one's feelings, expression,"
冒险,mao4 xian3,"to take risks, to take chances, foray, adventure,"
胜利,sheng4 li4,"victory, CL:個|个[gè],"
官,Guan1,"official, government, organ of body, CL:個|个[gè],"
直,Zhi2,"straight, to straighten, fair and reasonable, frank, straightforward, (indicates continuing motion or action), vertical, vertical downward stroke in Chinese characters,"
举,ju3,"to lift, to hold up, to cite, to enumerate, to act, to raise, to choose, to elect,"
期待,qi1 dai4,"to look forward to, to await, expectation,"
小伙子,xiao3 huo3 zi5,"young man, young guy, lad, youngster, CL:個|个[gè],"
保险,bao3 xian3,"insurance, to insure, safe, secure, be sure, be bound to, CL:份[fèn],"
单独,dan1 du2,"alone, by oneself, on one's own,"
专家,zhuan1 jia1,"expert, specialist, CL:個|个[gè],"
赶快,gan3 kuai4,"at once, immediately,"
更加,geng4 jia1,"more (than sth else), even more,"
风格,feng1 ge2,"style,"
机器,ji1 qi4,"machine, CL:臺|台,部,個|个[gè],"
方,Fang1,"square, power or involution (mathematics), upright, honest, fair and square, direction, side, party (to a contract, dispute etc), place, method, prescription (medicine), just when, only or just, classifier for square things, abbr. for square or cubic meter,"
价值,jia4 zhi2,"value, worth, fig. values (ethical, cultural etc), CL:個|个[gè],"
切,qie1,"to cut, to slice, tangent (math),"
厕所,ce4 suo3,"toilet, lavatory, CL:間|间,處|处[chù],"
彻底,che4 di3,"thorough, thoroughly, complete,"
翻,fan1,"to turn over, to flip over, to overturn, to rummage through, to translate, to decode, to double, to climb over or into, to cross,"
摆,bai3,"to arrange, to exhibit, to move to and fro, a pendulum,"
请求,qing3 qiu2,"request, CL:個|个[gè],"
命运,ming4 yun4,"fate, destiny, CL:個|个[gè],"
特殊,te4 shu1,"special, particular, unusual, extraordinary,"
老实,lao3 shi5,"honest, sincere, open and guileless, naive,"
年代,nian2 dai4,"a decade of a century (e.g. the Sixties), age, era, period, CL:個|个[gè],"
士兵,shi4 bing1,"soldier, CL:個|个[gè],"
以来,yi3 lai2,"since (a previous event),"
屋子,wu1 zi5,"house, room, CL:間|间[jiān],"
退,tui4,"to retreat, to decline, to move back, to withdraw,"
戒指,jie4 zhi5,"(finger) ring,"
洞,dong4,"cave, hole, zero (unambiguous spoken form when spelling out numbers), CL:個|个[gè],"
作品,zuo4 pin3,"work (of art), opus, CL:部,篇[piān],"
则,ze2,"conjunction used to express contrast with a previous sentence or clause, standard, norm, rule, to imitate, to follow, then, principle, classifier for written items (such as an official statement),"
去世,qu4 shi4,"to pass away, to die,"
规则,gui1 ze2,"rule, regulation, rules and regulations,"
说服,shuo1 fu2,"to persuade, to convince, to talk sb over, Taiwan pr. [shuì fú],"
产生,chan3 sheng1,"to arise, to come into being, to come about, to give rise to, to bring into being, to bring about, to produce, to engender, to generate, to appear, appearance, emergence, generation, production, yield,"
布,bu4,"cloth, to declare, to announce, to spread, to make known,"
接触,jie1 chu4,"to touch, to contact, access, in touch with,"
时代,Shi2 dai4,"age, era, epoch, period, CL:個|个[gè],"
卡车,ka3 che1,"truck, CL:輛|辆[liàng],"
规矩,gui1 ju5,"lit. compass and set square, fig. established standard, rule, customs, practices, fig. upright and honest, well-behaved,"
部门,bu4 men2,"department, branch, section, division, CL:個|个[gè],"
基本,ji1 ben3,"basic, fundamental, main, elementary,"
分析,fen1 xi1,"to analyze, analysis, CL:個|个[gè],"
地区,di4 qu1,"local, regional, district (not necessarily formal administrative unit), region, area, as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city), CL:個|个[gè],"
导致,dao3 zhi4,"to lead to, to create, to cause, to bring about,"
对待,dui4 dai4,"to treat, treatment,"
主人,zhu3 ren2,"master, host, owner, CL:個|个[gè],"
宣布,xuan1 bu4,"to declare, to announce, to proclaim,"
执行,zhi2 xing2,"to implement, to carry out, to execute, to run,"
空间,kong1 jian1,"space, CL:個|个[gè],"
想念,xiang3 nian4,"to miss, to remember with longing, to long to see again,"
卷,juan3,"to roll (up), to sweep up, to carry on, roll,"
罪犯,zui4 fan4,"criminal,"
炒,chao3,"to sauté, to stir-fry, to speculate, to hype, to fire (sb),"
程序,cheng2 xu4,"procedures, sequence, order, computer program,"
创造,chuang4 zao4,"to create, to bring about, to produce, to set (a record),"
情绪,qing2 xu4,"mood, state of mind, moodiness, CL:種|种[zhǒng],"
神经,shen2 jing1,"nerve,"
愤怒,fen4 nu4,"angry, indignant, wrath, ire,"
称,chen4,"to weigh, to state, to name, name, appellation, to praise,"
尽量,jin3 liang4,"as much as possible, to the greatest extent,"
亲自,qin1 zi4,"personally,"
石头,shi2 tou5,"stone, CL:塊|块[kuài],"
顶,ding3,"apex, crown of the head, top, roof, to carry on the head, to push to the top, to go against, most, to replace, to substitute, classifier for headwear, hats, veils etc, to ""bump"" a forum thread to raise its profile (internet slang),"
细节,xi4 jie2,"details, particulars,"
塔,ta3,"pagoda, tower, minaret, stupa (abbr. loanword from Sanskrit tapo), CL:座[zuò],"
道理,dao4 li5,"reason, argument, sense, principle, basis, justification, CL:個|个[gè],"
运气,yun4 qi5,"luck (good or bad),"
餐厅,can1 ting1,"dining hall, dining room, restaurant, CL:間|间,家[jiā],"
喊,han3,"to yell, to shout, to call out for (a person),"
制作,zhi4 zuo4,"to make, to manufacture,"
摔,shuai1,"to throw down, to fall, to drop and break,"
相处,xiang1 chu3,"to be in contact with, to associate with, to have dealings with,"
度过,du4 guo4,"to pass, to spend (time), to survive, to get through,"
奇迹,qi2 ji4,"miracle, miraculous, wonder, marvel,"
赶紧,gan3 jin3,"hurriedly, without delay,"
匹,pi1,"classifier for horses, mules etc, Taiwan pr. [pī], ordinary person, classifier for cloth: bolt, horsepower,"
所谓,suo3 wei4,"so-called, what is called,"
建立,jian4 li4,"to establish, to set up, to found,"
一辈子,yi1 bei4 zi5,"(for) a lifetime,"
神秘,shen2 mi4,"mysterious, mystery,"
实现,shi2 xian4,"to achieve, to implement, to realize, to bring about,"
政治,zheng4 zhi4,"politics, political,"
巨大,ju4 da4,"huge, immense, very large, tremendous, gigantic, enormous,"
对手,dui4 shou3,"opponent, adversary, match,"
刺激,ci4 ji1,"to provoke, to irritate, to upset, to stimulate, to excite, irritant,"
凭,ping2,"to lean against, to rely on, on the basis of, no matter (how, what etc), proof,"
废话,fei4 hua4,"nonsense, rubbish, superfluous words, You don't say!, No kidding! (gently sarcastic),"
现金,xian4 jin1,"cash,"
掌握,zhang3 wo4,"to grasp (often fig.), to control, to seize (initiative, opportunity, destiny), to master, to know well, to understand sth well and know how to use it, fluency,"
脖子,bo2 zi5,"neck, CL:個|个[gè],"
玩具,wan2 ju4,"plaything, toy,"
满足,man3 zu2,"to satisfy, to meet (the needs of), satisfied, content,"
传统,chuan2 tong3,"tradition, traditional, convention, conventional, CL:個|个[gè],"
念,nian4,"to read, to study (a degree course), to read aloud, to miss (sb), idea, remembrance, twenty (banker's anti-fraud numeral corresponding to 廿, 20),"
重复,chong2 fu4,"to repeat, to duplicate, CL:個|个[gè],"
和平,He2 ping2,"peace,"
欣赏,xin1 shang3,"to appreciate, to enjoy, to admire,"
支票,zhi1 piao4,"check (bank), cheque, CL:本[běn],"
自信,zi4 xin4,"to have confidence in oneself, self-confidence,"
理论,li3 lun4,"theory, CL:個|个[gè],"
角度,jiao3 du4,"angle, point of view,"
年纪,nian2 ji4,"age, CL:把,個|个[gè],"
观察,guan1 cha2,"to observe, to watch, to survey, to examine, observation, view, perspective, CL:個|个[gè],"
老鼠,lao3 shu3,"rat, mouse, CL:隻|只[zhī],"
龙,Long2,"dragon, CL:條|条[tiáo], imperial,"
盖,Ge3,"lid, top, cover, canopy, to cover, to conceal, to build,"
移动,yi2 dong4,"to move, movement, migration, mobile, portable,"
不断,bu4 duan4,"unceasing, uninterrupted, continuous, constant,"
公主,gong1 zhu3,"princess,"
露,Lu4,"dew, syrup, nectar, outdoors (not under cover), to show, to reveal, to betray, to expose,"
摸,mo1,"to feel with the hand, to touch, to stroke, to grope, to feel (one's pulse),"
思考,si1 kao3,"to reflect on, to ponder over,"
关闭,guan1 bi4,"to close, to shut,"
幻想,huan4 xiang3,"delusion, fantasy,"
狼,lang2,"wolf, CL:匹,隻|只,條|条[tiáo],"
伙伴,huo3 ban4,"partner, companion, comrade,"
甩,shuai3,"to throw, to fling, to swing, to leave behind, to throw off, to dump (sb),"
插,cha1,"to insert, stick in, pierce, to take part in, to interfere, to interpose,"
达到,da2 dao4,"to reach, to achieve, to attain,"
总之,zong3 zhi1,"in a word, in short, in brief,"
程度,cheng2 du4,"degree (level or extent), level, CL:個|个[gè],"
碎,sui4,"to break down, to break into pieces, fragmentary,"
教训,jiao4 xun5,"lesson, moral, to chide sb, to lecture sb,"
权力,quan2 li4,"power, authority,"
稳定,wen3 ding4,"steady, stable, stability, to stabilize, to pacify,"
尊敬,zun1 jing4,"respect, to revere,"
玻璃,bo1 li5,"glass, nylon, plastic, CL:張|张,塊|块[kuài],"
坚强,jian1 qiang2,"staunch, strong,"
数据,shu4 ju4,"data, numbers, digital,"
勇气,yong3 qi4,"courage, valor,"
好奇,hao4 qi2,"inquisitive, curious, inquisitiveness, curiosity,"
了不起,liao3 bu5 qi3,"amazing, terrific, extraordinary,"
砍,kan3,"to chop, to cut down, to throw sth at sb,"
借口,jie4 kou3,"to use as an excuse, on the pretext, excuse, pretext,"
土地,tu3 di4,"land, soil, territory, CL:片[piàn],"
平,Ping2,"flat, level, equal, to tie (make the same score), to draw (score), calm, peaceful, see also 平聲|平声[píng shēng],"
承受,cheng2 shou4,"to bear, to support, to inherit,"
时尚,shi2 shang4,"fashion, fad, fashionable,"
病毒,bing4 du2,"virus,"
设备,she4 bei4,"equipment, facilities, installations, CL:個|个[gè],"
娶,qu3,"to take a wife, to marry (a woman),"
过分,guo4 fen4,"excessive, undue, overly,"
投资,tou2 zi1,"investment, to invest,"
对象,dui4 xiang4,"target, object, partner, boyfriend, girlfriend, CL:個|个[gè],"
一致,yi1 zhi4,"unanimous, identical (views or opinions),"
魅力,mei4 li4,"charm, fascination, glamor, charisma,"
实验,shi2 yan4,"experiment, test, CL:個|个,次[cì], experimental, to experiment,"
恋爱,lian4 ai4,"(romantic) love, CL:個|个,場|场[chǎng], in love, to have an affair,"
话题,hua4 ti2,"subject (of a talk or conversation), topic,"
团,tuan2,"dumpling,"
建筑,jian4 zhu4,"to construct, building, CL:個|个[gè],"
损失,sun3 shi1,"loss, damage, CL:個|个[gè], to lose, to damage,"
王子,wang2 zi3,"prince, son of a king,"
自豪,zi4 hao2,"(feel a sense of) pride, to be proud of sth (in a good way),"
表明,biao3 ming2,"to make clear, to make known, to state clearly, to indicate, known,"
幅,fu2,"width, roll, classifier for textiles or pictures,"
骨头,gu3 tou5,"bone, CL:根,塊|块[kuài], moral character, bitterness,"
踩,cai3,"to step on, to tread, to stamp, to press a pedal, to pedal (a bike),"
假如,jia3 ru2,"if,"
合同,he2 tong5,"(business) contract, CL:個|个[gè],"
争取,zheng1 qu3,"to fight for, to strive for, to win over,"
胸,xiong1,"chest, bosom, heart, mind, thorax,"
微笑,wei1 xiao4,"smile, CL:個|个,絲|丝[sī], to smile,"
出口,chu1 kou3,"an exit, CL:個|个[gè], to speak, to export, (of a ship) to leave port,"
蛇,she2,"snake, serpent, CL:條|条[tiáo],"
乖,guai1,"(of a child) obedient, well-behaved, clever, shrewd, alert, perverse, contrary to reason, irregular, abnormal,"
系,xi4,"to connect, to arrest, to worry,"
姿势,zi1 shi4,"posture, position,"
瞎,xia1,"blind, groundlessly, foolishly, to no purpose,"
宇宙,yu3 zhou4,"universe, cosmos,"
卧室,wo4 shi4,"bedroom, CL:間|间[jiān],"
手指,shou3 zhi3,"finger, CL:個|个,隻|只[zhī],"
一路,yi1 lu4,"the whole journey, all the way, going the same way, going in the same direction, of the same kind,"
