hanzi,pinyin,english
对付,dui4 fu5,"to handle, to deal with, to cope, to get by with,"
队伍,dui4 wu3,"ranks, troops, CL:個|个[gè],"
同志,tong2 zhi4,"comrade, homosexual (slang), CL:個|个[gè],"
军队,jun1 dui4,"army troops, CL:支,個|个[gè],"
侦探,zhen1 tan4,"detective, to do detective work,"
在乎,zai4 hu5,"determined by, to care about, to mind,"
确保,que4 bao3,"to ensure, to guarantee,"
耍,Shua3,"to play with, to wield, to act (cool etc), to display (a skill, one's temper etc),"
战斗,zhan4 dou4,"to fight, to battle, CL:場|场,次[cì],"
展示,zhan3 shi4,"to reveal, to display, to show, to exhibit sth,"
进展,jin4 zhan3,"to make headway, to make progress,"
乐意,le4 yi4,"to be willing to do sth, to be ready to do sth, to be happy to do sth, content, satisfied,"
解雇,jie3 gu4,"to fire, to sack, to dismiss,"
时光,shi2 guang1,"time, era, period of time,"
尽快,jin3 kuai4,"as quickly as possible, as soon as possible, with all speed,"
搭,da1,"to put up, to build (scaffolding), to hang (clothes on a pole), to connect, to join, to arrange in pairs, to match, to add, to throw in (resources), to take (boat, train),"
恐惧,kong3 ju4,"fear, dread, phobia,"
惊讶,jing1 ya4,"amazed, astonished, to surprise, amazing, astonishment, awe,"
事业,shi4 ye4,"undertaking, project, activity, (charitable, political or revolutionary) cause, publicly funded institution, enterprise or foundation, career, occupation, CL:個|个[gè],"
不可思议,bu4 ke3 si1 yi4,"inconceivable (idiom); unimaginable, unfathomable,"
案件,an4 jian4,"law case, legal case, judicial case, CL:宗,樁|桩,起[qǐ],"
档案,dang4 an4,"file, record, archive,"
协议,xie2 yi4,"agreement, pact, protocol, CL:項|项[xiàng],"
抢劫,qiang3 jie2,"to rob, looting,"
代价,dai4 jia4,"price, cost, consideration (in share dealing),"
背叛,bei4 pan4,"to betray,"
天堂,tian1 tang2,"paradise, heaven,"
释放,shi4 fang4,"to release, to set free, to liberate (a prisoner), to discharge,"
折磨,zhe2 mo2,"to persecute, to torment,"
艘,sou1,"classifier for ships, Taiwan pr. [sāo],"
刺,ci1,"thorn, sting, thrust, to prick, to pierce, to stab, to assassinate, to murder,"
情报,qing2 bao4,"(spy) intelligence, information-gathering,"
暴力,bao4 li4,"violence, (use) force, violent,"
事故,shi4 gu4,"accident, CL:樁|桩,起,次[cì],"
牺牲,xi1 sheng1,"to sacrifice oneself, to lay down one's life, to do sth at the expense of, beast slaughtered for sacrifice, sacrifice, CL:個|个[gè],"
婴儿,ying1 er2,"infant, baby, CL:個|个[gè], lead (Pb),"
信仰,xin4 yang3,"to believe in (a religion), firm belief, conviction,"
媒体,mei2 ti3,"media, esp. news media,"
魔鬼,mo2 gui3,"devil,"
孤独,gu1 du2,"lonely, solitary,"
惩罚,cheng2 fa2,"penalty, punishment, to punish,"
神奇,shen2 qi2,"magical, mystical, miraculous,"
磅,bang4,"see 磅秤 scale, platform balance, pound (unit of weight, about 454 grams),"
承诺,cheng2 nuo4,"to promise, to undertake to do something, commitment,"
间谍,jian4 die2,"spy,"
确信,que4 xin4,"to be convinced, to be sure, to firmly believe, to be positive that, definite news,"
哼,heng1,"to groan, to snort, to hum, to croon, humph!,"
尴尬,gan1 ga4,"awkward, embarrassed,"
生物,sheng1 wu4,"organism, living creature, life form, biological, CL:個|个[gè],"
能量,neng2 liang4,"energy, capabilities,"
清醒,qing1 xing3,"clear-headed, sober, awake,"
感染,gan3 ran3,"infection, to infect, to influence,"
指望,zhi3 wang4,"to hope for sth, to count on, hope,"
抛弃,pao1 qi4,"to abandon, to discard, to renounce, to dump (sb),"
美妙,mei3 miao4,"beautiful, wonderful, splendid,"
揍,zou4,"to beat up, to break to pieces,"
擅长,shan4 chang2,"to be good at, to be expert in,"
忍受,ren3 shou4,"to bear, to endure,"
动手,dong4 shou3,"to set about (a task), to hit, to punch, to touch,"
清理,qing1 li3,"to clear up, to tidy up, to dispose of,"
完毕,wan2 bi4,"to finish, to end, to complete,"
机构,ji1 gou4,"mechanism, structure, organization, agency, institution, CL:所[suǒ],"
即将,ji2 jiang1,"on the eve of, to be about to, to be on the verge of,"
钻石,zuan4 shi2,"diamond, CL:顆|颗[kē],"
艰难,jian1 nan2,"difficult, hard, challenging,"
坦白,tan3 bai2,"honest, forthcoming, to confess,"
左右,zuo3 you4,"left and right, approximately, attendant, to control, to influence,"
痕迹,hen2 ji4,"vestige, mark, trace,"
区域,qu1 yu4,"area, region, district,"
镜头,jing4 tou2,"camera lens, camera shot (in a movie etc), scene,"
联盟,lian2 meng2,"alliance, union, coalition,"
审判,shen3 pan4,"a trial, to try sb,"
基地,ji1 di4,"base (of operations), industrial or military base, al-Qaeda,"
假设,jia3 she4,"suppose that..., hypothesis, conjecture,"
嫉妒,ji2 du4,"to be jealous, to envy, to hate,"
保姆,bao3 mu3,"nanny, housekeeper,"
摇滚,yao2 gun3,"to shake and boil, rock and roll (music),"
放手,fang4 shou3,"to let go one's hold, to give up, to have a free hand,"
抱怨,bao4 yuan4,"to complain, to grumble,"
打架,da3 jia4,"to fight, to scuffle, to come to blows, CL:場|场[cháng],"
打击,da3 ji1,"to hit, to strike, to attack, to crack down on sth, a setback, a blow, percussion (music),"
类似,lei4 si4,"similar, analogous,"
激情,ji1 qing2,"passion, fervor, enthusiasm, strong emotion,"
注射,zhu4 she4,"injection, to inject,"
转移,zhuan3 yi2,"to shift, to divert or distract (attention etc), to change, to transform, metastasis (medicine),"
摆脱,bai3 tuo1,"to break away from, to cast off (old ideas etc), to get rid of, to break away (from), to break out (of), to free oneself from, to extricate oneself,"
保密,bao3 mi4,"to keep sth confidential, to maintain secrecy,"
助手,zhu4 shou3,"assistant, helper,"
栋,dong4,"classifier for houses or buildings, ridgepole (old),"
迷人,mi2 ren2,"fascinating, enchanting, charming, tempting,"
开除,kai1 chu2,"to expel,"
可笑,ke3 xiao4,"funny, ridiculous,"
仪式,yi2 shi4,"ceremony,"
混乱,hun4 luan4,"confusion, chaos, disorder,"
联络,lian2 luo4,"communication, to get in touch with, to contact, connection (math.),"
癌症,ai2 zheng4,"cancer,"
天才,tian1 cai2,"talent, gift, genius, talented, gifted,"
发射,fa1 she4,"to shoot (a projectile), to fire (a rocket), to launch, to emit (a particle), to discharge, emanation, emission,"
生存,sheng1 cun2,"to exist, to survive,"
结局,jie2 ju2,"conclusion, ending,"
非法,fei1 fa3,"illegal,"
人家,ren2 jia1,"other people, sb else, he, she or they, I, me (referring to oneself as ""one"" or ""people""),"
动机,dong4 ji1,"motor, locomotive, motive, motivation, intention,"
欺骗,qi1 pian4,"to deceive, to cheat,"
并非,bing4 fei1,"really isn't,"
人质,ren2 zhi4,"hostage,"
扮演,ban4 yan3,"to play the role of, to act,"
剧本,ju4 ben3,"script for play, opera, movie etc, screenplay, scenario,"
证实,zheng4 shi2,"to confirm (sth to be true), to verify,"
被告,bei4 gao4,"defendant,"
搜索,sou1 suo3,"to search, to look for sth, to scour (search meticulously), to look sth up, internet search, database search,"
网络,Wang3 luo4,"network (computing, telecommunications, transport etc),"
时机,shi2 ji1,"fortunate timing, occasion, opportunity,"
辩护,bian4 hu4,"to speak in defense of, to argue in favor of, to defend, to plead,"
起码,qi3 ma3,"at the minimum, at the very least,"
宁愿,ning4 yuan4,"would rather, better,"
隐瞒,yin3 man2,"to conceal, to hide (a taboo subject), to cover up the truth,"
社区,she4 qu1,"community,"
助理,zhu4 li3,"assistant,"
主题,zhu3 ti2,"theme, subject,"
渴望,ke3 wang4,"to thirst for, to long for,"
溜,liu1,"to slip away, to escape in stealth, to skate,"
太空,tai4 kong1,"outer space,"
毁灭,hui3 mie4,"to perish, to ruin, to destroy,"
眼神,yan3 shen2,"expression or emotion showing in one's eyes, meaningful glance, wink, eyesight (topolect),"
古怪,gu3 guai4,"eccentric, grotesque, oddly, queer,"
进攻,jin4 gong1,"to attack, to assault, to go on the offensive, attack, assault, offense (sports),"
报复,bao4 fu4,"to make reprisals, to retaliate, revenge, retaliation,"
欧洲,Ou1 zhou1,"Europe, European,"
荒谬,huang1 miu4,"absurd, ridiculous,"
交往,jiao1 wang3,"to associate, to contact, association, contact,"
卫星,wei4 xing1,"(space) satellite, CL:顆|颗[kē],"
嘲笑,chao2 xiao4,"to jeer at, to deride, to ridicule, mockery, derision,"
期望,qi1 wang4,"to have expectations, to earnestly hope, expectation, hope,"
娃娃,wa2 wa5,"baby, small child, doll,"
达成,da2 cheng2,"to reach (an agreement), to accomplish,"
夫妇,fu1 fu4,"a (married) couple, husband and wife, CL:對|对[duì],"
新娘,xin1 niang2,"bride,"
竞选,jing4 xuan3,"to take part in an election, to run for office,"
割,ge1,"to cut, to cut apart,"
制服,zhi4 fu2,"to subdue, to check, to bring under control, (in former times) what one is allowed to wear depending on social status, uniform (army, party, school etc), livery (for company employees), CL:套[tào],"
直播,zhi2 bo1,"live broadcast (not recorded), direct internet broadcasting,"
崩溃,beng1 kui4,"to collapse, to crumble, to fall apart,"
陷入,xian4 ru4,"to sink into, to get caught up in, to land in (a predicament),"
回报,hui2 bao4,"(in) return, reciprocation, payback, retaliation, to report back, to reciprocate,"
演讲,yan3 jiang3,"lecture, to make a speech,"
试验,shi4 yan4,"experiment, test, experimental, CL:次,個|个[gè],"
异常,yi4 chang2,"exceptional, abnormal, an anomaly,"
疾病,ji2 bing4,"disease, sickness, ailment,"
展现,zhan3 xian4,"to come out, to emerge,"
强迫,qiang3 po4,"to compel, to force,"
暗示,an4 shi4,"to hint, to suggest, suggestion, hint,"
当事人,dang1 shi4 ren2,"persons involved or implicated, party (to an affair),"
绝望,jue2 wang4,"desperation, forlorn, hopeless,"
沮丧,ju3 sang4,"dispirited, dejected, dismayed,"
灾难,zai1 nan4,"disaster, catastrophe,"
正义,zheng4 yi4,"justice, righteous, righteousness,"
蒙,meng2,"to cover, ignorant, to suffer (misfortune), to receive (a favor), to cheat,"
技巧,ji4 qiao3,"skill, technique,"
提议,ti2 yi4,"proposal, suggestion, to propose, to suggest,"
中央,zhong1 yang1,"central, middle, center, central authorities (of a state),"
即便,ji2 bian4,"even if, even though, right away, immediately,"
机密,ji1 mi4,"secret, classified (information),"
忠诚,zhong1 cheng2,"devoted, fidelity, loyal, loyalty,"
走廊,zou3 lang2,"corridor, aisle, hallway, colonnade, passageway, piazza, veranda,"
当初,dang1 chu1,"at that time, originally,"
症状,zheng4 zhuang4,"symptom (of an illness),"
系列,xi4 lie4,"series,"
保重,bao3 zhong4,"to take care of oneself,"
震惊,zhen4 jing1,"to shock, to astonish,"
反抗,fan3 kang4,"to resist, to rebel,"
心灵,xin1 ling2,"bright, smart, quick-witted, heart, thoughts, spirit,"
掩护,yan3 hu4,"to screen, to shield, to cover, protection, cover, CL:面[miàn],"
活力,huo2 li4,"energy, vitality, vigor, vital force,"
天生,tian1 sheng1,"nature, disposition, innate, natural,"
枚,Mei2,"classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc, tree trunk, whip, wooden peg, used as a gag for marching soldiers (old),"
不止,bu4 zhi3,"incessantly, without end, more than, not limited to,"
顾问,gu4 wen4,"adviser, consultant,"
障碍,zhang4 ai4,"barrier, obstruction, hindrance, impediment, obstacle,"
敏感,min3 gan3,"sensitive, susceptible, politically sensitive (pretext for censorship),"
危机,wei1 ji1,"crisis, CL:個|个[gè],"
保守,bao3 shou3,"(politically) conservative, to guard, to keep,"
维持,wei2 chi2,"to keep, to maintain, to preserve,"
主管,zhu3 guan3,"in charge, responsible for,"
罐,guan4,"can, jar, pot,"
标记,biao1 ji4,"sign, mark, symbol, to mark up,"
出卖,chu1 mai4,"to offer for sale, to sell, to sell out or betray,"
治安,zhi4 an1,"law and order, public security,"
昏迷,hun1 mi2,"to lose consciousness, to be in a coma, stupor, coma, stunned, disoriented,"
凌晨,ling2 chen2,"very early in the morning, in the wee hours,"
侮辱,wu3 ru3,"to insult, to humiliate, dishonor,"
暴露,bao4 lu4,"to expose, to reveal, to lay bare, also pr. [pù lù],"
绅士,shen1 shi4,"gentleman,"
公民,gong1 min2,"citizen,"
残忍,can2 ren3,"cruel, mean, merciless, ruthless,"
造型,zao4 xing2,"modeling, mold-making, model or mold, molding, pose,"
迹象,ji4 xiang4,"mark, indication, sign, indicator,"
神圣,shen2 sheng4,"divine, hallow, holy, sacred,"
航空,hang2 kong1,"aviation,"
仓库,cang1 ku4,"depot, storehouse, warehouse,"
码头,ma3 tou2,"dock, pier, wharf, CL:個|个[gè],"
本人,ben3 ren2,"the person himself, I (humble form used in speeches), oneself, myself, in person, personal,"
大不了,da4 bu4 liao3,"at worst, if worst comes to worst, serious, alarming,"
补偿,bu3 chang2,"to compensate, to make up,"
冲动,chong1 dong4,"to have an urge, to be impetuous, impulse, urge,"
演奏,yan3 zou4,"to play a musical instrument, to perform music,"
城堡,cheng2 bao3,"castle, rook (chess piece),"
对抗,dui4 kang4,"to withstand, to resist, to stand off, antagonism, confrontation,"
按摩,an4 mo2,"massage, to massage,"
本身,ben3 shen1,"itself, in itself, per se,"
熬,ao1,"to cook on a slow fire, to extract by heating, to decoct, to endure,"
奴隶,nu2 li4,"slave,"
在意,zai4 yi4,"to care about, to mind,"
拜访,bai4 fang3,"to pay a visit, to call on,"
奖励,jiang3 li4,"to reward, reward (as encouragement),"
膝盖,xi1 gai4,"knee,"
引擎,yin3 qing2,"engine (loanword), CL:臺|台[tái],"
宰,zai3,"to slaughter livestock, to govern or rule, to cheat customers, Imperial official in dynastic China,"
贼,zei2,"thief, traitor, wily, deceitful, evil, extremely,"
种族,zhong3 zu2,"race, ethnicity,"
当心,dang1 xin1,"to take care, to look out,"
字母,zi4 mu3,"letter (of the alphabet), CL:個|个[gè],"
乐趣,le4 qu4,"delight, pleasure, joy,"
虐待,nve4 dai4,"to mistreat, to maltreat, to abuse, mistreatment, maltreatment,"
舔,tian3,"to lick, to lap,"
薪水,xin1 shui3,"salary, wage,"
理智,li3 zhi4,"reason, intellect, rationality,"
封锁,feng1 suo3,"to blockade, to seal off,"
诉讼,su4 song4,"lawsuit,"
基因,ji1 yin1,"gene (loanword),"
职位,zhi2 wei4,"post, office, position,"
可恶,ke3 wu4,"repulsive, vile, hateful, abominable,"
确切,que4 qie4,"definite, exact, precise,"
扎,zha1,"to prick, to run or stick (a needle etc) into, jug (a classifier for liquids such as beer),"
支援,zhi1 yuan2,"to provide assistance, to support, to back,"
评论,ping2 lun4,"to comment on, to discuss, comment, commentary, CL:篇[piān],"
基金,ji1 jin1,"fund,"
投降,tou2 xiang2,"to surrender, surrender,"
灵感,ling2 gan3,"inspiration, insight, a burst of creativity in scientific or artistic endeavor,"
漫画,man4 hua4,"caricature, cartoon, Japanese manga,"
角落,jiao3 luo4,"nook, corner,"
预言,yu4 yan2,"to predict, prophecy,"
策略,ce4 lve4,"tactics, to be tactful,"
领先,ling3 xian1,"to lead, to be in front,"
装备,zhuang1 bei4,"equipment, to equip, to outfit,"
流氓,liu2 mang2,"rogue, hoodlum, gangster, immoral behavior,"
声明,sheng1 ming2,"statement, declaration, CL:項|项,份[fèn],"
排除,pai2 chu2,"to eliminate, to get rid of, to remove,"
成交,cheng2 jiao1,"to complete a contract, to reach a deal,"
消防,xiao1 fang2,"fire-fighting, fire control,"
吼,hou3,"roar or howl of an animal, bellow of rage,"
发动,fa1 dong4,"to start, to launch, to unleash, to mobilize, to arouse,"
集团,ji2 tuan2,"group, bloc, corporation, conglomerate,"
协助,xie2 zhu4,"to provide assistance, to aid,"
动力,dong4 li4,"power, motion, propulsion, force,"
阴谋,yin1 mou2,"plot, conspiracy,"
性命,xing4 ming4,"life,"
协会,xie2 hui4,"an association, a society, CL:個|个,家[jiā],"
喉咙,hou2 long2,"throat, larynx,"
爆发,bao4 fa1,"to break out, to erupt, to explode, to burst out,"
陷害,xian4 hai4,"to entrap, to set up, to frame (up), to make false charges against,"
荒唐,huang1 tang2,"beyond belief, preposterous, absurd, intemperate, dissipated,"
随意,sui2 yi4,"as one wishes, according to one's wishes, at will, voluntary, conscious,"
策划,ce4 hua4,"to plot, to scheme, to bring about, to engineer, planning, producer, planner,"
弥补,mi2 bu3,"to complement, to make up for a deficiency,"
党,Dang3,"party, association, club, society, CL:個|个[gè],"
来源,lai2 yuan2,"source (of information etc), origin,"
判决,pan4 jue2,"judgment (by a court of law), to pass judgment on, to sentence,"
公正,gong1 zheng4,"just, fair, equitable,"
依靠,yi1 kao4,"to rely on sth (for support etc), to depend on,"
冲突,chong1 tu1,"conflict, to conflict, clash of opposing forces, collision (of interests), contention,"
犬,quan3,"dog,"
化妆,hua4 zhuang1,"to put on makeup,"
指示,zhi3 shi4,"to point out, to indicate, to instruct, directives, instructions, CL:個|个[gè],"
卑鄙,bei1 bi3,"base, mean, contemptible, despicable,"
端,duan1,"end, extremity, item, port, to hold sth level with both hands, to carry, regular,"
人士,ren2 shi4,"person, figure, public figure,"
脆弱,cui4 ruo4,"weak, frail,"
侵犯,qin1 fan4,"to infringe on, to encroach on, to violate,"
器官,qi4 guan1,"organ (part of body tissue), apparatus,"
崇拜,chong2 bai4,"to worship, adoration,"
考验,kao3 yan4,"to test, to put to the test,"
时装,shi2 zhuang1,"the latest fashion in clothes, fashionable,"
魔术,mo2 shu4,"magic,"
欲望,yu4 wang4,"desire, longing, appetite, craving,"
实力,shi2 li4,"strength,"
赌博,du3 bo2,"to gamble,"
处境,chu3 jing4,"plight, unfavorable situation,"
继承,ji4 cheng2,"to inherit, to carry on, to succeed,"
染,ran3,"to dye, to catch (a disease), to acquire (bad habits etc), to contaminate, to add colour washes to a painting,"
隔离,ge2 li2,"to separate, to isolate,"
无能为力,wu2 neng2 wei2 li4,"impotent (idiom), powerless, helpless,"
领袖,ling3 xiu4,"leader, CL:個|个,位,名[míng],"
挣扎,zheng1 zha2,"to struggle,"
难堪,nan2 kan1,"hard to take, embarrassed,"
许可,xu3 ke3,"to allow, to permit,"
汇报,hui4 bao4,"to report, to give an account of, report,"
过度,guo4 du4,"excessive, over-, excess, going too far, extravagant, intemperate, overdue,"
包围,bao1 wei2,"to surround, to encircle, to hem in,"
提示,ti2 shi4,"to prompt, to present, to point out, to draw attention to sth, hint, brief, cue,"
混合,hun4 he2,"to mix, to blend,"
武装,wu3 zhuang1,"arms, equipment, to arm, military, armed (forces),"
斗争,dou4 zheng1,"a struggle, fight, battle,"
指甲,zhi3 jia5,"fingernail,"
足以,zu2 yi3,"sufficient to..., so much so that, so that,"
隐私,yin3 si1,"secrets, private business, privacy,"
口音,kou3 yin1,"oral speech sounds (linguistics),"
旋转,xuan2 zhuan3,"to rotate, to revolve, to spin, to whirl,"
穿越,chuan1 yue4,"to pass through, to cross, to overcome,"
回顾,hui2 gu4,"to look back, to review,"
扁,Pian1,"flat, (old form of character 匾, horizontal tablet with inscription),"
欢乐,huan1 le4,"gaiety, gladness, glee, merriment, pleasure, happy, joyous, gay,"
抚养,fu3 yang3,"to foster, to bring up, to raise,"
环节,huan2 jie2,"round segment, segment (of annelid worms), connection, link, sector, annular ring,"
残酷,can2 ku4,"cruel, cruelty,"
使命,shi3 ming4,"mission (diplomatic or other), set task,"
场合,chang3 he2,"situation, occasion,"
酒精,jiu3 jing1,"alcohol, ethanol CH3CH2OH, ethyl alcohol, also written 乙醇, grain alcohol,"
模型,mo2 xing2,"model, mould, matrix, pattern,"
解除,jie3 chu2,"to remove, to sack, to get rid of, to relieve (sb of their duties), to free, to lift (an embargo), to rescind (an agreement),"
评估,ping2 gu1,"to evaluate, to assess, assessment, evaluation,"
典型,dian3 xing2,"model, typical case, archetype, typical, representative,"
给予,ji3 yu3,"to accord, to give, to show (respect),"
伪造,wei3 zao4,"to forge, to fake, to counterfeit,"
掩盖,yan3 gai4,"to conceal, to hide behind, to cover up,"
团结,tuan2 jie2,"a rally, to hold a rally, to join forces,"
趴,pa1,"to lie on one's stomach, to lean forward, resting one's upper body (on a desktop etc), (Taiwan) percent,"
翘,qiao2,"to stick up, to rise on one end, to tilt,"
诱惑,you4 huo4,"to entice, to lure, to induce, to attract,"
火箭,huo3 jian4,"rocket, CL:枚[méi],"
负担,fu4 dan1,"burden, to bear a burden,"
轮胎,lun2 tai1,"tire, pneumatic tire,"
团体,tuan2 ti3,"group, organization, team, CL:個|个[gè],"
倾向,qing1 xiang4,"trend, tendency, orientation,"
遭遇,zao1 yu4,"to meet with, to encounter, (bitter) experience,"
嘴唇,zui3 chun2,"lip, CL:片[piàn],"
边缘,bian1 yuan2,"edge, fringe, verge, brink, periphery, marginal, borderline,"
复活,fu4 huo2,"resurrection,"
双胞胎,shuang1 bao1 tai1,"twin, CL:對|对[duì],"
修理,xiu1 li3,"to repair, to perform maintenance, to overhaul, to fix, to prune, to trim,"
立场,li4 chang3,"position, standpoint, CL:個|个[gè],"
情形,qing2 xing5,"circumstances, situation, CL:個|个[gè],"
仁慈,ren2 ci2,"benevolent, charitable, kind, kindly, kindness, merciful,"
意志,yi4 zhi4,"will, willpower, determination, CL:個|个[gè],"
导弹,dao3 dan4,"guided missile, cruise missile, missile, CL:枚[méi],"
隧道,sui4 dao4,"tunnel,"
无比,wu2 bi3,"incomparable, matchless,"
一向,yi1 xiang4,"always (previously), a period of time in the recent past,"
本事,ben3 shi4,"ability, skill,"
突破,tu1 po4,"to break through, to make a breakthrough, to surmount or break the back of (a task etc), (of ball sports) to break through a defense,"
指令,zhi3 ling4,"order, command, instruction,"
石油,shi2 you2,"oil, petroleum,"
撤退,che4 tui4,"to retreat,"
悲惨,bei1 can3,"miserable, tragic,"
模式,mo2 shi4,"mode, method,"
风暴,feng1 bao4,"storm, violent commotion, fig. crisis (e.g. revolution, uprising, financial crisis etc),"
忽略,hu1 lve4,"to neglect, to overlook, to ignore,"
外表,wai4 biao3,"external, outside, outward appearance,"
额外,e2 wai4,"extra, added, additional,"
干扰,gan1 rao3,"to interfere, obstruction,"
防守,fang2 shou3,"to defend, to protect (against),"
欺负,qi1 fu5,"to bully,"
挽救,wan3 jiu4,"to save, to remedy, to rescue,"
播放,bo1 fang4,"to broadcast, to transmit,"
脱离,tuo1 li2,"to separate oneself from, to break away from, diastasis (medicine), abscission, abjunction (botany),"
酗酒,xu4 jiu3,"heavy drinking, to get drunk, to drink to excess,"
节奏,jie2 zou4,"rhythm, tempo, musical pulse, cadence, beat,"
拼命,pin1 ming4,"to do one's utmost, with all one's might, at all costs, (to work or fight) as if one's life depends on it,"
操作,cao1 zuo4,"to work, to operate, to manipulate,"
情节,qing2 jie2,"plot, circumstances,"
吊,diao4,"a string of 100 cash (arch.), to lament, to condole with,"
过于,guo4 yu2,"too much, excessively,"
呵,a1,"expel breath, my goodness,"
井,Jing3,"a well, CL:口[kǒu], neat, orderly,"
慷慨,kang1 kai3,"vehement, fervent, generous, giving, liberal,"
迷失,mi2 shi1,"lost, not knowing one's location,"
细胞,xi4 bao1,"cell (biology),"
潜力,qian2 li4,"potential, capacity,"
举动,ju3 dong4,"act, action, activity, move, movement,"
周年,zhou1 nian2,"anniversary, annual,"
财富,cai2 fu4,"wealth, riches,"
指责,zhi3 ze2,"to criticize, to find fault with, to denounce,"
良心,liang2 xin1,"conscience,"
容忍,rong2 ren3,"to put up with, to tolerate,"
渣,zha1,"slag (in mining or smelting), dregs,"
清除,qing1 chu2,"to eliminate, to get rid of,"
尊严,zun1 yan2,"dignity, sanctity, honor, majesty,"
收音机,shou1 yin1 ji1,"radio, CL:臺|台[tái],"
伴侣,ban4 lv3,"companion, mate, partner,"
遭受,zao1 shou4,"to suffer, to sustain (loss, misfortune),"
肿瘤,zhong3 liu2,"tumor,"
发布,fa1 bu4,"to release, to issue, to announce, to distribute,"
气味,qi4 wei4,"odor, scent,"
预算,yu4 suan4,"budget,"
患者,huan4 zhe3,"patient, sufferer,"
手法,shou3 fa3,"technique, trick, skill,"
滋味,zi1 wei4,"taste, flavor, feeling,"
